price,size_in_m_2,longitude,latitude,no_of_bedrooms,no_of_bathrooms,quality
825828,50.074717,55.311623,25.178495,0,1,2
850000,100.613949,55.181316,25.027415,2,2,1
3050000,297.382503,55.146759,25.088431,4,5,1
808520,45.708276,55.308533,25.177819,1,1,2
1760000,180.510529,55.112014,25.123294,2,3,0
850000,54.998576,55.12905799999999,25.068586,1,1,1
1690000,109.253928,55.124993,25.071365,2,2,1
617000,78.96755,55.209442,25.048461,1,2,2
3850000,188.035672,55.270983,25.201718,3,3,0
1355000,163.50928,55.149224,25.087926,2,3,1
1375000,79.524968,55.26942,25.195039,1,2,0
1599999,201.785316,55.146294,25.090009,3,3,1
863400,51.003747,55.339287,25.103784,1,2,1
641700,37.625715,55.339287,25.103784,0,1,1
1250000,125.883565,55.139576,25.110724,1,1,0
3200000,211.81884,55.133230000000005,25.070605,3,4,0
1700000,154.497689,55.277919,25.186913,2,3,0
2050000,139.3545,55.145574,25.087251,2,3,0
1441498,131.643551,55.271356,25.18219,2,3,1
2299880,220.18010999999998,55.2861,25.185772,3,4,1
1789000,91.602358,55.273284,25.193039,1,2,1
3450000,162.208638,55.145574,25.087251,3,3,2
3094900,119.380355,55.276331000000006,25.200879,2,3,0
1890000,147.437061,55.142615,25.115747,1,1,1
1500000,86.028178,55.132888,25.073778,1,2,0
1800000,98.105568,55.124993,25.071365,2,2,1
5790000,320.236641,55.151405,25.132021,3,4,1
2800000,179.30279,55.345142,25.206345,3,3,1
2800000,209.03175,55.137575,25.110559,3,4,1
2399999,226.590417,55.137591,25.111108,3,4,1
864000,64.10307,55.34911,25.201227,1,1,1
1540000,59.45792,55.126527,25.072569,1,2,1
1600000,59.365017,55.126527,25.072569,1,2,0
2320000,107.76748,55.126527,25.072569,2,3,0
2320000,184.040843,55.126527,25.072569,2,3,1
2450000,109.718443,55.126527,25.072569,2,3,0
2450000,109.718443,55.126527,25.072569,2,3,0
2700000,120.7739,55.271223,25.193703,2,3,0
2167888,74.3224,55.28314399999999,25.194877,1,2,0
1700000,90.766231,55.270189,25.201204,1,2,1
1667888,108.69651,55.365799,25.195295,2,3,0
1399888,76.18046,55.345967,25.20863,1,2,1
1051888,67.540481,55.243982,25.099132,2,3,0
1050888,67.168869,55.243982,25.099132,2,3,0
1021888,68.934026,55.243982,25.099132,2,3,0
1040000,59.736629,55.349638,25.195854,1,2,0
1964888,92.159776,55.14034300000001,25.080542,1,2,1
1370888,69.305638,55.139276,25.0967,1,2,1
1722888,73.300467,55.141746,25.099793,1,2,1
1949888,105.816517,55.14145500000001,25.099744,2,3,1
4000000,194.817591,55.141746,25.099793,3,4,0
1500000,69.212735,55.141275,25.09938,1,2,0
